Kategori;Afdeling;Vare;Pris (kr.);Beskrivelse;Kategori vises;Vare vises;Udsolgt;Kan bestilles online;Kategoriens dage;Kategorinote
Retter;Mad;Smørrebrød;55;;ja;nej;nej;ja;alle;
Retter;Mad;Planke;179;;ja;nej;nej;ja;alle;
Retter;Mad;Lun delle eller steg;25;En lun, saftig frikadelle eller en skive varm steg — klassisk og mættende.;ja;ja;nej;ja;alle;
Retter;Mad;Lun delle, steg eller leverpostej med brød og surt;65;Med brød og smør;ja;ja;nej;ja;alle;
Retter;Mad;Rejemad;85;;ja;nej;nej;ja;alle;
Retter;Mad;Tatarmad;99;;ja;nej;nej;ja;alle;
Retter;Mad;Håndmadder;27;;ja;nej;nej;ja;alle;
Retter;Mad;Stjerneskud;105;Sprød stegt og mild dampet fiskefilet på franskbrød med rejer, asparges, dressing og citron.;ja;ja;nej;ja;alle;
Retter;Mad;Fish’n’chips;105;Gyldent paneret fisk med sprøde pommes frites, remoulade og en citronbåd.;ja;ja;nej;ja;alle;
Retter;Mad;Fiskefilet med pommes;95;Sprød paneret fiskefilet med pommes frites, remoulade og citron.;ja;ja;nej;ja;alle;
Retter;Mad;Pariserbøf;105;Saftig bøf på ristet brød med æggeblomme, kapers, peberrod, rødbeder og rå løg.;ja;ja;nej;ja;alle;
Retter;Mad;Pitabrød;65;Med kebab, kylling eller tun;ja;ja;nej;ja;alle;
Andre retter;Mad;Sandwich, stor;85;Æg, pålæg, hønsesalat, æggesalat, wienersalat, skinkesalat, kebab, kylling eller tun;ja;nej;nej;ja;alle;
Andre retter;Mad;Mix med pommes;90;Kebab, kylling, tun eller frikadelle;ja;nej;nej;ja;alle;
Andre retter;Mad;Pølsemix med pommes;90;;ja;ja;nej;ja;alle;
Andre retter;Mad;Kebabmix med pommes;90;;ja;ja;nej;ja;alle;
Andre retter;Mad;Kyllingmix med pommes;90;;ja;ja;nej;ja;alle;
Andre retter;Mad;Hjemmelavet biksemad med spejlæg;85;Ekstra spejlæg 10 kr.;ja;ja;nej;ja;alle;
Andre retter;Mad;Blandet salat;55;Æg, tun, kebab, kylling eller pasta 10 kr. ekstra;ja;ja;nej;ja;alle;
Andre retter;Mad;Nachos med tilbehør & ost;85;Kylling, kebab eller oksekød 10 kr. ekstra;ja;ja;nej;ja;alle;
Andre retter;Mad;Gammeldags rejecocktail med brød og smør;90;Med brød og smør;ja;ja;nej;ja;alle;
Andre retter;Mad;Hjemmelavet hvidløgsbrød med tomat & ost;45;Med ost og tomat;ja;ja;nej;ja;alle;
Andre retter;Mad;Indbagte rejer med pommes;95;Sprøde indbagte rejer med gyldne pommes frites og dip.;ja;ja;nej;ja;alle;
Andre retter;Mad;Nuggets med pommes;85;Sprøde kyllingenuggets med pommes frites og dip.;ja;ja;nej;ja;alle;
Andre retter;Mad;Hjemmelavet toast, ost og skinke;35;Med ost og skinke;ja;ja;nej;ja;alle;
Andre retter;Mad;Hjemmelavet cowboytoast;45;;ja;ja;nej;ja;alle;
Andre retter;Mad;Snackkurv;85;Med en dip;ja;ja;nej;ja;alle;
Andre retter;Mad;Pommes frites med dip;40;En portion gyldne, sprøde pommes frites med dip.;ja;ja;nej;ja;alle;
Andre retter;Mad;Hjemmelavet lun frikadelle;25;Lun, saftig frikadelle lige fra panden.;ja;ja;nej;ja;alle;
Andre retter;Mad;Dip eller dressing;10;;ja;ja;nej;ja;alle;
Andre retter;Mad;Ekstra kød m.m.;10;;ja;ja;nej;ja;alle;
Andre retter;Mad;Ekstra spejlæg;10;;ja;ja;nej;ja;alle;
Andre retter;Mad;Ekstra æg, tun, kebab, kylling eller pasta;10;;ja;nej;nej;ja;alle;
Andre retter;Mad;Ekstra kylling, kebab eller oksekød;10;;ja;nej;nej;ja;alle;
Burgere;Mad;Kyllingeburger;80;Sprød kylling i en blød burgerbolle med salat, tomat og cremet dressing.;ja;ja;nej;ja;alle;
Burgere;Mad;Havnens burger;80;;ja;ja;nej;ja;alle;
Burgere;Mad;Baconburger;85;Saftig bøf med smeltet ost og sprød bacon, salat, tomat og dressing i ristet burgerbolle.;ja;ja;nej;ja;alle;
